candidate_key_label,initial_key_sha256,transform,offset,update_rule,packet_no,direction,len,payload_sha256,block_bytes_decrypted,leftover_bytes,processed_intermediate_before_first_target,score,exact_expected_utf16,ascii_secondary,matched_utf16_messages,matched_ascii_messages,utf16_printable_ratio,length_sane,opcode_complement_any,header_body_hints
lobby_le_tail_a16c5487,2c2a263534b823171a4b34fc0e083eacaa57d581deda170c088985e30ac7cd5b,Blowfish_ECB_only,8,A_public_update_decrypted_len,8745,C2S,36,e8b2e35b4bdff2c9b6c0039a562b5e01a0602ce03902aa91417ff6f944f2aa69,24,4,30,0.941,no,no,,,0.941,no,no,
lobby_le_tail_a16c5487,2c2a263534b823171a4b34fc0e083eacaa57d581deda170c088985e30ac7cd5b,Blowfish_ECB_only,8,A_public_update_decrypted_len,8844,C2S,70,54635553c4e9689e7ba96c5977ff011e6a68fd61d06f3fa8767bbb8d6df5f76c,56,6,30,0.848,no,no,,,0.848,no,no,
lobby_le_tail_a16c5487,2c2a263534b823171a4b34fc0e083eacaa57d581deda170c088985e30ac7cd5b,Blowfish_ECB_only,8,A_public_update_decrypted_len,8974,C2S,58,c50c17788599cea99000c489d660563478fcdb05454dffbc47a5db7e81ae9d15,48,2,30,0.690,no,no,,,0.690,no,no,
lobby_le_tail_a16c5487,2c2a263534b823171a4b34fc0e083eacaa57d581deda170c088985e30ac7cd5b,Blowfish_ECB_only,8,B_public_update_ciphertext_len,8745,C2S,36,e8b2e35b4bdff2c9b6c0039a562b5e01a0602ce03902aa91417ff6f944f2aa69,24,4,30,0.941,no,no,,,0.941,no,no,
lobby_le_tail_a16c5487,2c2a263534b823171a4b34fc0e083eacaa57d581deda170c088985e30ac7cd5b,Blowfish_ECB_only,8,B_public_update_ciphertext_len,8844,C2S,70,54635553c4e9689e7ba96c5977ff011e6a68fd61d06f3fa8767bbb8d6df5f76c,56,6,30,0.848,no,no,,,0.848,no,no,
lobby_le_tail_a16c5487,2c2a263534b823171a4b34fc0e083eacaa57d581deda170c088985e30ac7cd5b,Blowfish_ECB_only,8,B_public_update_ciphertext_len,8974,C2S,58,c50c17788599cea99000c489d660563478fcdb05454dffbc47a5db7e81ae9d15,48,2,30,0.690,no,no,,,0.690,no,no,
lobby_le_tail_a16c5487,2c2a263534b823171a4b34fc0e083eacaa57d581deda170c088985e30ac7cd5b,Blowfish_ECB_only,8,C_add_first_decrypted_dword,8745,C2S,36,e8b2e35b4bdff2c9b6c0039a562b5e01a0602ce03902aa91417ff6f944f2aa69,24,4,30,0.933,no,no,,,0.933,no,no,
lobby_le_tail_a16c5487,2c2a263534b823171a4b34fc0e083eacaa57d581deda170c088985e30ac7cd5b,Blowfish_ECB_only,8,C_add_first_decrypted_dword,8844,C2S,70,54635553c4e9689e7ba96c5977ff011e6a68fd61d06f3fa8767bbb8d6df5f76c,56,6,30,0.914,no,no,,,0.914,no,no,
lobby_le_tail_a16c5487,2c2a263534b823171a4b34fc0e083eacaa57d581deda170c088985e30ac7cd5b,Blowfish_ECB_only,8,C_add_first_decrypted_dword,8974,C2S,58,c50c17788599cea99000c489d660563478fcdb05454dffbc47a5db7e81ae9d15,48,2,30,0.724,no,no,,,0.724,no,no,
lobby_le_tail_a16c5487,2c2a263534b823171a4b34fc0e083eacaa57d581deda170c088985e30ac7cd5b,Blowfish_ECB_only,8,D_add_last_decrypted_dword,8745,C2S,36,e8b2e35b4bdff2c9b6c0039a562b5e01a0602ce03902aa91417ff6f944f2aa69,24,4,30,0.882,no,no,,,0.882,no,no,
lobby_le_tail_a16c5487,2c2a263534b823171a4b34fc0e083eacaa57d581deda170c088985e30ac7cd5b,Blowfish_ECB_only,8,D_add_last_decrypted_dword,8844,C2S,70,54635553c4e9689e7ba96c5977ff011e6a68fd61d06f3fa8767bbb8d6df5f76c,56,6,30,0.914,no,no,,,0.914,no,no,
lobby_le_tail_a16c5487,2c2a263534b823171a4b34fc0e083eacaa57d581deda170c088985e30ac7cd5b,Blowfish_ECB_only,8,D_add_last_decrypted_dword,8974,C2S,58,c50c17788599cea99000c489d660563478fcdb05454dffbc47a5db7e81ae9d15,48,2,30,0.759,no,no,,,0.759,no,no,
lobby_le_tail_a16c5487,2c2a263534b823171a4b34fc0e083eacaa57d581deda170c088985e30ac7cd5b,Blowfish_ECB_only,8,E_add_len_plus_first_decrypted_dword,8745,C2S,36,e8b2e35b4bdff2c9b6c0039a562b5e01a0602ce03902aa91417ff6f944f2aa69,24,4,30,0.824,no,no,,,0.824,no,no,
lobby_le_tail_a16c5487,2c2a263534b823171a4b34fc0e083eacaa57d581deda170c088985e30ac7cd5b,Blowfish_ECB_only,8,E_add_len_plus_first_decrypted_dword,8844,C2S,70,54635553c4e9689e7ba96c5977ff011e6a68fd61d06f3fa8767bbb8d6df5f76c,56,6,30,0.941,no,no,,,0.941,no,no,
lobby_le_tail_a16c5487,2c2a263534b823171a4b34fc0e083eacaa57d581deda170c088985e30ac7cd5b,Blowfish_ECB_only,8,E_add_len_plus_first_decrypted_dword,8974,C2S,58,c50c17788599cea99000c489d660563478fcdb05454dffbc47a5db7e81ae9d15,48,2,30,0.857,no,no,,,0.857,no,no,
lobby_le_tail_a16c5487,2c2a263534b823171a4b34fc0e083eacaa57d581deda170c088985e30ac7cd5b,Blowfish_ECB_only,8,F_no_update_negative_control,8745,C2S,36,e8b2e35b4bdff2c9b6c0039a562b5e01a0602ce03902aa91417ff6f944f2aa69,24,4,30,0.867,no,no,,,0.867,no,no,
lobby_le_tail_a16c5487,2c2a263534b823171a4b34fc0e083eacaa57d581deda170c088985e30ac7cd5b,Blowfish_ECB_only,8,F_no_update_negative_control,8844,C2S,70,54635553c4e9689e7ba96c5977ff011e6a68fd61d06f3fa8767bbb8d6df5f76c,56,6,30,0.824,no,no,,,0.824,no,no,
lobby_le_tail_a16c5487,2c2a263534b823171a4b34fc0e083eacaa57d581deda170c088985e30ac7cd5b,Blowfish_ECB_only,8,F_no_update_negative_control,8974,C2S,58,c50c17788599cea99000c489d660563478fcdb05454dffbc47a5db7e81ae9d15,48,2,30,0.893,no,no,,,0.893,no,no,
lobby_le_tail_a16c5487,2c2a263534b823171a4b34fc0e083eacaa57d581deda170c088985e30ac7cd5b,Blowfish_ECB_only,8,G_c2s_only_public_update_decrypted_len,8745,C2S,36,e8b2e35b4bdff2c9b6c0039a562b5e01a0602ce03902aa91417ff6f944f2aa69,24,4,30,0.941,no,no,,,0.941,no,no,
lobby_le_tail_a16c5487,2c2a263534b823171a4b34fc0e083eacaa57d581deda170c088985e30ac7cd5b,Blowfish_ECB_only,8,G_c2s_only_public_update_decrypted_len,8844,C2S,70,54635553c4e9689e7ba96c5977ff011e6a68fd61d06f3fa8767bbb8d6df5f76c,56,6,30,0.848,no,no,,,0.848,no,no,
lobby_le_tail_a16c5487,2c2a263534b823171a4b34fc0e083eacaa57d581deda170c088985e30ac7cd5b,Blowfish_ECB_only,8,G_c2s_only_public_update_decrypted_len,8974,C2S,58,c50c17788599cea99000c489d660563478fcdb05454dffbc47a5db7e81ae9d15,48,2,30,0.690,no,no,,,0.690,no,no,
lobby_le_tail_a16c5487,2c2a263534b823171a4b34fc0e083eacaa57d581deda170c088985e30ac7cd5b,Blowfish_ECB_then_decXORPass,0,A_public_update_decrypted_len,8745,C2S,36,e8b2e35b4bdff2c9b6c0039a562b5e01a0602ce03902aa91417ff6f944f2aa69,32,4,30,0.944,no,no,,,0.944,no,no,
lobby_le_tail_a16c5487,2c2a263534b823171a4b34fc0e083eacaa57d581deda170c088985e30ac7cd5b,Blowfish_ECB_then_decXORPass,0,A_public_update_decrypted_len,8844,C2S,70,54635553c4e9689e7ba96c5977ff011e6a68fd61d06f3fa8767bbb8d6df5f76c,64,6,30,0.914,no,no,,,0.914,no,no,
lobby_le_tail_a16c5487,2c2a263534b823171a4b34fc0e083eacaa57d581deda170c088985e30ac7cd5b,Blowfish_ECB_then_decXORPass,0,A_public_update_decrypted_len,8974,C2S,58,c50c17788599cea99000c489d660563478fcdb05454dffbc47a5db7e81ae9d15,56,2,30,0.966,no,no,,,0.966,no,no,
lobby_le_tail_a16c5487,2c2a263534b823171a4b34fc0e083eacaa57d581deda170c088985e30ac7cd5b,Blowfish_ECB_then_decXORPass,0,B_public_update_ciphertext_len,8745,C2S,36,e8b2e35b4bdff2c9b6c0039a562b5e01a0602ce03902aa91417ff6f944f2aa69,32,4,30,0.944,no,no,,,0.944,no,no,
lobby_le_tail_a16c5487,2c2a263534b823171a4b34fc0e083eacaa57d581deda170c088985e30ac7cd5b,Blowfish_ECB_then_decXORPass,0,B_public_update_ciphertext_len,8844,C2S,70,54635553c4e9689e7ba96c5977ff011e6a68fd61d06f3fa8767bbb8d6df5f76c,64,6,30,0.914,no,no,,,0.914,no,no,
lobby_le_tail_a16c5487,2c2a263534b823171a4b34fc0e083eacaa57d581deda170c088985e30ac7cd5b,Blowfish_ECB_then_decXORPass,0,B_public_update_ciphertext_len,8974,C2S,58,c50c17788599cea99000c489d660563478fcdb05454dffbc47a5db7e81ae9d15,56,2,30,0.966,no,no,,,0.966,no,no,
lobby_le_tail_a16c5487,2c2a263534b823171a4b34fc0e083eacaa57d581deda170c088985e30ac7cd5b,Blowfish_ECB_then_decXORPass,0,C_add_first_decrypted_dword,8745,C2S,36,e8b2e35b4bdff2c9b6c0039a562b5e01a0602ce03902aa91417ff6f944f2aa69,32,4,30,1.000,no,no,,,1.000,no,no,
lobby_le_tail_a16c5487,2c2a263534b823171a4b34fc0e083eacaa57d581deda170c088985e30ac7cd5b,Blowfish_ECB_then_decXORPass,0,C_add_first_decrypted_dword,8844,C2S,70,54635553c4e9689e7ba96c5977ff011e6a68fd61d06f3fa8767bbb8d6df5f76c,64,6,30,0.706,no,no,,,0.706,no,no,
lobby_le_tail_a16c5487,2c2a263534b823171a4b34fc0e083eacaa57d581deda170c088985e30ac7cd5b,Blowfish_ECB_then_decXORPass,0,C_add_first_decrypted_dword,8974,C2S,58,c50c17788599cea99000c489d660563478fcdb05454dffbc47a5db7e81ae9d15,56,2,30,0.929,no,no,,,0.929,no,no,
lobby_le_tail_a16c5487,2c2a263534b823171a4b34fc0e083eacaa57d581deda170c088985e30ac7cd5b,Blowfish_ECB_then_decXORPass,0,D_add_last_decrypted_dword,8745,C2S,36,e8b2e35b4bdff2c9b6c0039a562b5e01a0602ce03902aa91417ff6f944f2aa69,32,4,30,0.833,no,no,,,0.833,no,no,
lobby_le_tail_a16c5487,2c2a263534b823171a4b34fc0e083eacaa57d581deda170c088985e30ac7cd5b,Blowfish_ECB_then_decXORPass,0,D_add_last_decrypted_dword,8844,C2S,70,54635553c4e9689e7ba96c5977ff011e6a68fd61d06f3fa8767bbb8d6df5f76c,64,6,30,0.824,no,no,,,0.824,no,no,
lobby_le_tail_a16c5487,2c2a263534b823171a4b34fc0e083eacaa57d581deda170c088985e30ac7cd5b,Blowfish_ECB_then_decXORPass,0,D_add_last_decrypted_dword,8974,C2S,58,c50c17788599cea99000c489d660563478fcdb05454dffbc47a5db7e81ae9d15,56,2,30,0.857,no,no,,,0.857,no,no,
lobby_le_tail_a16c5487,2c2a263534b823171a4b34fc0e083eacaa57d581deda170c088985e30ac7cd5b,Blowfish_ECB_then_decXORPass,0,E_add_len_plus_first_decrypted_dword,8745,C2S,36,e8b2e35b4bdff2c9b6c0039a562b5e01a0602ce03902aa91417ff6f944f2aa69,32,4,30,0.765,no,no,,,0.765,no,no,
lobby_le_tail_a16c5487,2c2a263534b823171a4b34fc0e083eacaa57d581deda170c088985e30ac7cd5b,Blowfish_ECB_then_decXORPass,0,E_add_len_plus_first_decrypted_dword,8844,C2S,70,54635553c4e9689e7ba96c5977ff011e6a68fd61d06f3fa8767bbb8d6df5f76c,64,6,30,5.941,no,no,,,0.941,no,yes,comp_2_3
lobby_le_tail_a16c5487,2c2a263534b823171a4b34fc0e083eacaa57d581deda170c088985e30ac7cd5b,Blowfish_ECB_then_decXORPass,0,E_add_len_plus_first_decrypted_dword,8974,C2S,58,c50c17788599cea99000c489d660563478fcdb05454dffbc47a5db7e81ae9d15,56,2,30,0.966,no,no,,,0.966,no,no,
lobby_le_tail_a16c5487,2c2a263534b823171a4b34fc0e083eacaa57d581deda170c088985e30ac7cd5b,Blowfish_ECB_then_decXORPass,0,F_no_update_negative_control,8745,C2S,36,e8b2e35b4bdff2c9b6c0039a562b5e01a0602ce03902aa91417ff6f944f2aa69,32,4,30,0.889,no,no,,,0.889,no,no,
lobby_le_tail_a16c5487,2c2a263534b823171a4b34fc0e083eacaa57d581deda170c088985e30ac7cd5b,Blowfish_ECB_then_decXORPass,0,F_no_update_negative_control,8844,C2S,70,54635553c4e9689e7ba96c5977ff011e6a68fd61d06f3fa8767bbb8d6df5f76c,64,6,30,0.914,no,no,,,0.914,no,no,
lobby_le_tail_a16c5487,2c2a263534b823171a4b34fc0e083eacaa57d581deda170c088985e30ac7cd5b,Blowfish_ECB_then_decXORPass,0,F_no_update_negative_control,8974,C2S,58,c50c17788599cea99000c489d660563478fcdb05454dffbc47a5db7e81ae9d15,56,2,30,0.926,no,no,,,0.926,no,no,
lobby_le_tail_a16c5487,2c2a263534b823171a4b34fc0e083eacaa57d581deda170c088985e30ac7cd5b,Blowfish_ECB_then_decXORPass,0,G_c2s_only_public_update_decrypted_len,8745,C2S,36,e8b2e35b4bdff2c9b6c0039a562b5e01a0602ce03902aa91417ff6f944f2aa69,32,4,30,0.944,no,no,,,0.944,no,no,
lobby_le_tail_a16c5487,2c2a263534b823171a4b34fc0e083eacaa57d581deda170c088985e30ac7cd5b,Blowfish_ECB_then_decXORPass,0,G_c2s_only_public_update_decrypted_len,8844,C2S,70,54635553c4e9689e7ba96c5977ff011e6a68fd61d06f3fa8767bbb8d6df5f76c,64,6,30,0.914,no,no,,,0.914,no,no,
lobby_le_tail_a16c5487,2c2a263534b823171a4b34fc0e083eacaa57d581deda170c088985e30ac7cd5b,Blowfish_ECB_then_decXORPass,0,G_c2s_only_public_update_decrypted_len,8974,C2S,58,c50c17788599cea99000c489d660563478fcdb05454dffbc47a5db7e81ae9d15,56,2,30,0.966,no,no,,,0.966,no,no,
lobby_le_tail_a16c5487,2c2a263534b823171a4b34fc0e083eacaa57d581deda170c088985e30ac7cd5b,Blowfish_ECB_then_decXORPass,2,A_public_update_decrypted_len,8745,C2S,36,e8b2e35b4bdff2c9b6c0039a562b5e01a0602ce03902aa91417ff6f944f2aa69,32,2,30,0.812,no,no,,,0.812,no,no,
lobby_le_tail_a16c5487,2c2a263534b823171a4b34fc0e083eacaa57d581deda170c088985e30ac7cd5b,Blowfish_ECB_then_decXORPass,2,A_public_update_decrypted_len,8844,C2S,70,54635553c4e9689e7ba96c5977ff011e6a68fd61d06f3fa8767bbb8d6df5f76c,64,4,30,0.914,no,no,,,0.914,no,no,
lobby_le_tail_a16c5487,2c2a263534b823171a4b34fc0e083eacaa57d581deda170c088985e30ac7cd5b,Blowfish_ECB_then_decXORPass,2,A_public_update_decrypted_len,8974,C2S,58,c50c17788599cea99000c489d660563478fcdb05454dffbc47a5db7e81ae9d15,56,0,30,0.828,no,no,,,0.828,no,no,
lobby_le_tail_a16c5487,2c2a263534b823171a4b34fc0e083eacaa57d581deda170c088985e30ac7cd5b,Blowfish_ECB_then_decXORPass,2,B_public_update_ciphertext_len,8745,C2S,36,e8b2e35b4bdff2c9b6c0039a562b5e01a0602ce03902aa91417ff6f944f2aa69,32,2,30,0.812,no,no,,,0.812,no,no,
lobby_le_tail_a16c5487,2c2a263534b823171a4b34fc0e083eacaa57d581deda170c088985e30ac7cd5b,Blowfish_ECB_then_decXORPass,2,B_public_update_ciphertext_len,8844,C2S,70,54635553c4e9689e7ba96c5977ff011e6a68fd61d06f3fa8767bbb8d6df5f76c,64,4,30,0.914,no,no,,,0.914,no,no,
lobby_le_tail_a16c5487,2c2a263534b823171a4b34fc0e083eacaa57d581deda170c088985e30ac7cd5b,Blowfish_ECB_then_decXORPass,2,B_public_update_ciphertext_len,8974,C2S,58,c50c17788599cea99000c489d660563478fcdb05454dffbc47a5db7e81ae9d15,56,0,30,0.828,no,no,,,0.828,no,no,
lobby_le_tail_a16c5487,2c2a263534b823171a4b34fc0e083eacaa57d581deda170c088985e30ac7cd5b,Blowfish_ECB_then_decXORPass,2,C_add_first_decrypted_dword,8745,C2S,36,e8b2e35b4bdff2c9b6c0039a562b5e01a0602ce03902aa91417ff6f944f2aa69,32,2,30,0.941,no,no,,,0.941,no,no,
lobby_le_tail_a16c5487,2c2a263534b823171a4b34fc0e083eacaa57d581deda170c088985e30ac7cd5b,Blowfish_ECB_then_decXORPass,2,C_add_first_decrypted_dword,8844,C2S,70,54635553c4e9689e7ba96c5977ff011e6a68fd61d06f3fa8767bbb8d6df5f76c,64,4,30,0.938,no,no,,,0.938,no,no,
lobby_le_tail_a16c5487,2c2a263534b823171a4b34fc0e083eacaa57d581deda170c088985e30ac7cd5b,Blowfish_ECB_then_decXORPass,2,C_add_first_decrypted_dword,8974,C2S,58,c50c17788599cea99000c489d660563478fcdb05454dffbc47a5db7e81ae9d15,56,0,30,0.931,no,no,,,0.931,no,no,
lobby_le_tail_a16c5487,2c2a263534b823171a4b34fc0e083eacaa57d581deda170c088985e30ac7cd5b,Blowfish_ECB_then_decXORPass,2,D_add_last_decrypted_dword,8745,C2S,36,e8b2e35b4bdff2c9b6c0039a562b5e01a0602ce03902aa91417ff6f944f2aa69,32,2,30,0.882,no,no,,,0.882,no,no,
lobby_le_tail_a16c5487,2c2a263534b823171a4b34fc0e083eacaa57d581deda170c088985e30ac7cd5b,Blowfish_ECB_then_decXORPass,2,D_add_last_decrypted_dword,8844,C2S,70,54635553c4e9689e7ba96c5977ff011e6a68fd61d06f3fa8767bbb8d6df5f76c,64,4,30,0.912,no,no,,,0.912,no,no,
lobby_le_tail_a16c5487,2c2a263534b823171a4b34fc0e083eacaa57d581deda170c088985e30ac7cd5b,Blowfish_ECB_then_decXORPass,2,D_add_last_decrypted_dword,8974,C2S,58,c50c17788599cea99000c489d660563478fcdb05454dffbc47a5db7e81ae9d15,56,0,30,0.759,no,no,,,0.759,no,no,
lobby_le_tail_a16c5487,2c2a263534b823171a4b34fc0e083eacaa57d581deda170c088985e30ac7cd5b,Blowfish_ECB_then_decXORPass,2,E_add_len_plus_first_decrypted_dword,8745,C2S,36,e8b2e35b4bdff2c9b6c0039a562b5e01a0602ce03902aa91417ff6f944f2aa69,32,2,30,5.933,no,no,,,0.933,no,yes,comp_3_4
lobby_le_tail_a16c5487,2c2a263534b823171a4b34fc0e083eacaa57d581deda170c088985e30ac7cd5b,Blowfish_ECB_then_decXORPass,2,E_add_len_plus_first_decrypted_dword,8844,C2S,70,54635553c4e9689e7ba96c5977ff011e6a68fd61d06f3fa8767bbb8d6df5f76c,64,4,30,0.853,no,no,,,0.853,no,no,
lobby_le_tail_a16c5487,2c2a263534b823171a4b34fc0e083eacaa57d581deda170c088985e30ac7cd5b,Blowfish_ECB_then_decXORPass,2,E_add_len_plus_first_decrypted_dword,8974,C2S,58,c50c17788599cea99000c489d660563478fcdb05454dffbc47a5db7e81ae9d15,56,0,30,0.893,no,no,,,0.893,no,no,
lobby_le_tail_a16c5487,2c2a263534b823171a4b34fc0e083eacaa57d581deda170c088985e30ac7cd5b,Blowfish_ECB_then_decXORPass,2,F_no_update_negative_control,8745,C2S,36,e8b2e35b4bdff2c9b6c0039a562b5e01a0602ce03902aa91417ff6f944f2aa69,32,2,30,0.882,no,no,,,0.882,no,no,
lobby_le_tail_a16c5487,2c2a263534b823171a4b34fc0e083eacaa57d581deda170c088985e30ac7cd5b,Blowfish_ECB_then_decXORPass,2,F_no_update_negative_control,8844,C2S,70,54635553c4e9689e7ba96c5977ff011e6a68fd61d06f3fa8767bbb8d6df5f76c,64,4,30,0.914,no,no,,,0.914,no,no,
lobby_le_tail_a16c5487,2c2a263534b823171a4b34fc0e083eacaa57d581deda170c088985e30ac7cd5b,Blowfish_ECB_then_decXORPass,2,F_no_update_negative_control,8974,C2S,58,c50c17788599cea99000c489d660563478fcdb05454dffbc47a5db7e81ae9d15,56,0,30,0.931,no,no,,,0.931,no,no,
lobby_le_tail_a16c5487,2c2a263534b823171a4b34fc0e083eacaa57d581deda170c088985e30ac7cd5b,Blowfish_ECB_then_decXORPass,2,G_c2s_only_public_update_decrypted_len,8745,C2S,36,e8b2e35b4bdff2c9b6c0039a562b5e01a0602ce03902aa91417ff6f944f2aa69,32,2,30,0.812,no,no,,,0.812,no,no,
lobby_le_tail_a16c5487,2c2a263534b823171a4b34fc0e083eacaa57d581deda170c088985e30ac7cd5b,Blowfish_ECB_then_decXORPass,2,G_c2s_only_public_update_decrypted_len,8844,C2S,70,54635553c4e9689e7ba96c5977ff011e6a68fd61d06f3fa8767bbb8d6df5f76c,64,4,30,0.914,no,no,,,0.914,no,no,
lobby_le_tail_a16c5487,2c2a263534b823171a4b34fc0e083eacaa57d581deda170c088985e30ac7cd5b,Blowfish_ECB_then_decXORPass,2,G_c2s_only_public_update_decrypted_len,8974,C2S,58,c50c17788599cea99000c489d660563478fcdb05454dffbc47a5db7e81ae9d15,56,0,30,0.828,no,no,,,0.828,no,no,
lobby_le_tail_a16c5487,2c2a263534b823171a4b34fc0e083eacaa57d581deda170c088985e30ac7cd5b,Blowfish_ECB_then_decXORPass,4,A_public_update_decrypted_len,8745,C2S,36,e8b2e35b4bdff2c9b6c0039a562b5e01a0602ce03902aa91417ff6f944f2aa69,32,0,30,0.882,no,no,,,0.882,no,no,
lobby_le_tail_a16c5487,2c2a263534b823171a4b34fc0e083eacaa57d581deda170c088985e30ac7cd5b,Blowfish_ECB_then_decXORPass,4,A_public_update_decrypted_len,8844,C2S,70,54635553c4e9689e7ba96c5977ff011e6a68fd61d06f3fa8767bbb8d6df5f76c,64,2,30,0.857,no,no,,,0.857,no,no,
lobby_le_tail_a16c5487,2c2a263534b823171a4b34fc0e083eacaa57d581deda170c088985e30ac7cd5b,Blowfish_ECB_then_decXORPass,4,A_public_update_decrypted_len,8974,C2S,58,c50c17788599cea99000c489d660563478fcdb05454dffbc47a5db7e81ae9d15,48,6,30,0.897,no,no,,,0.897,no,no,
lobby_le_tail_a16c5487,2c2a263534b823171a4b34fc0e083eacaa57d581deda170c088985e30ac7cd5b,Blowfish_ECB_then_decXORPass,4,B_public_update_ciphertext_len,8745,C2S,36,e8b2e35b4bdff2c9b6c0039a562b5e01a0602ce03902aa91417ff6f944f2aa69,32,0,30,0.882,no,no,,,0.882,no,no,
lobby_le_tail_a16c5487,2c2a263534b823171a4b34fc0e083eacaa57d581deda170c088985e30ac7cd5b,Blowfish_ECB_then_decXORPass,4,B_public_update_ciphertext_len,8844,C2S,70,54635553c4e9689e7ba96c5977ff011e6a68fd61d06f3fa8767bbb8d6df5f76c,64,2,30,0.857,no,no,,,0.857,no,no,
lobby_le_tail_a16c5487,2c2a263534b823171a4b34fc0e083eacaa57d581deda170c088985e30ac7cd5b,Blowfish_ECB_then_decXORPass,4,B_public_update_ciphertext_len,8974,C2S,58,c50c17788599cea99000c489d660563478fcdb05454dffbc47a5db7e81ae9d15,48,6,30,0.897,no,no,,,0.897,no,no,
lobby_le_tail_a16c5487,2c2a263534b823171a4b34fc0e083eacaa57d581deda170c088985e30ac7cd5b,Blowfish_ECB_then_decXORPass,4,C_add_first_decrypted_dword,8745,C2S,36,e8b2e35b4bdff2c9b6c0039a562b5e01a0602ce03902aa91417ff6f944f2aa69,32,0,30,0.824,no,no,,,0.824,no,no,
lobby_le_tail_a16c5487,2c2a263534b823171a4b34fc0e083eacaa57d581deda170c088985e30ac7cd5b,Blowfish_ECB_then_decXORPass,4,C_add_first_decrypted_dword,8844,C2S,70,54635553c4e9689e7ba96c5977ff011e6a68fd61d06f3fa8767bbb8d6df5f76c,64,2,30,0.909,no,no,,,0.909,no,no,
lobby_le_tail_a16c5487,2c2a263534b823171a4b34fc0e083eacaa57d581deda170c088985e30ac7cd5b,Blowfish_ECB_then_decXORPass,4,C_add_first_decrypted_dword,8974,C2S,58,c50c17788599cea99000c489d660563478fcdb05454dffbc47a5db7e81ae9d15,48,6,30,0.857,no,no,,,0.857,no,no,
lobby_le_tail_a16c5487,2c2a263534b823171a4b34fc0e083eacaa57d581deda170c088985e30ac7cd5b,Blowfish_ECB_then_decXORPass,4,D_add_last_decrypted_dword,8745,C2S,36,e8b2e35b4bdff2c9b6c0039a562b5e01a0602ce03902aa91417ff6f944f2aa69,32,0,30,0.824,no,no,,,0.824,no,no,
lobby_le_tail_a16c5487,2c2a263534b823171a4b34fc0e083eacaa57d581deda170c088985e30ac7cd5b,Blowfish_ECB_then_decXORPass,4,D_add_last_decrypted_dword,8844,C2S,70,54635553c4e9689e7ba96c5977ff011e6a68fd61d06f3fa8767bbb8d6df5f76c,64,2,30,0.886,no,no,,,0.886,no,no,
lobby_le_tail_a16c5487,2c2a263534b823171a4b34fc0e083eacaa57d581deda170c088985e30ac7cd5b,Blowfish_ECB_then_decXORPass,4,D_add_last_decrypted_dword,8974,C2S,58,c50c17788599cea99000c489d660563478fcdb05454dffbc47a5db7e81ae9d15,48,6,30,0.897,no,no,,,0.897,no,no,
lobby_le_tail_a16c5487,2c2a263534b823171a4b34fc0e083eacaa57d581deda170c088985e30ac7cd5b,Blowfish_ECB_then_decXORPass,4,E_add_len_plus_first_decrypted_dword,8745,C2S,36,e8b2e35b4bdff2c9b6c0039a562b5e01a0602ce03902aa91417ff6f944f2aa69,32,0,30,0.941,no,no,,,0.941,no,no,
lobby_le_tail_a16c5487,2c2a263534b823171a4b34fc0e083eacaa57d581deda170c088985e30ac7cd5b,Blowfish_ECB_then_decXORPass,4,E_add_len_plus_first_decrypted_dword,8844,C2S,70,54635553c4e9689e7ba96c5977ff011e6a68fd61d06f3fa8767bbb8d6df5f76c,64,2,30,0.941,no,no,,,0.941,no,no,
lobby_le_tail_a16c5487,2c2a263534b823171a4b34fc0e083eacaa57d581deda170c088985e30ac7cd5b,Blowfish_ECB_then_decXORPass,4,E_add_len_plus_first_decrypted_dword,8974,C2S,58,c50c17788599cea99000c489d660563478fcdb05454dffbc47a5db7e81ae9d15,48,6,30,0.808,no,no,,,0.808,no,no,
lobby_le_tail_a16c5487,2c2a263534b823171a4b34fc0e083eacaa57d581deda170c088985e30ac7cd5b,Blowfish_ECB_then_decXORPass,4,F_no_update_negative_control,8745,C2S,36,e8b2e35b4bdff2c9b6c0039a562b5e01a0602ce03902aa91417ff6f944f2aa69,32,0,30,0.812,no,no,,,0.812,no,no,
lobby_le_tail_a16c5487,2c2a263534b823171a4b34fc0e083eacaa57d581deda170c088985e30ac7cd5b,Blowfish_ECB_then_decXORPass,4,F_no_update_negative_control,8844,C2S,70,54635553c4e9689e7ba96c5977ff011e6a68fd61d06f3fa8767bbb8d6df5f76c,64,2,30,0.857,no,no,,,0.857,no,no,
lobby_le_tail_a16c5487,2c2a263534b823171a4b34fc0e083eacaa57d581deda170c088985e30ac7cd5b,Blowfish_ECB_then_decXORPass,4,F_no_update_negative_control,8974,C2S,58,c50c17788599cea99000c489d660563478fcdb05454dffbc47a5db7e81ae9d15,48,6,30,0.893,no,no,,,0.893,no,no,
lobby_le_tail_a16c5487,2c2a263534b823171a4b34fc0e083eacaa57d581deda170c088985e30ac7cd5b,Blowfish_ECB_then_decXORPass,4,G_c2s_only_public_update_decrypted_len,8745,C2S,36,e8b2e35b4bdff2c9b6c0039a562b5e01a0602ce03902aa91417ff6f944f2aa69,32,0,30,0.882,no,no,,,0.882,no,no,
